,category,link,title,summary
83,數位時代,https://www.bnext.com.tw/article/57407/a2-milk-ilovemilk,鮮乳坊推出臺灣第一支「A2鮮奶」，要讓喝牛奶會肚子痛的人也能喝！｜數位時代,鮮乳坊推出臺灣第一支「A2鮮奶」，要讓喝牛奶會肚子痛的人也能喝！｜數位時代
84,科技,https://www.techbang.com/posts/77932-asus-self-exposed-z490-host-version-of-information-of-course-support-intel-10th-generation-processor,Asus自曝Z490主機版資訊，當然是支援Intel第10代處理器 | T客邦,Asus自曝Z490主機版資訊，當然是支援Intel第10代處理器 | T客邦
85,數位時代,https://www.bnext.com.tw/article/57407/a2-milk-ilovemilk,鮮乳坊推出臺灣第一支「A2鮮奶」，要讓喝牛奶會肚子痛的人也能喝！｜數位時代,鮮乳坊推出臺灣第一支「A2鮮奶」，要讓喝牛奶會肚子痛的人也能喝！｜數位時代
86,數位時代,https://www.bnext.com.tw/article/57413/covid-19-youtube-who,YouTube採強硬措施！CEO：疫情相關不實影片將刪除，一切以WHO說法為基準｜數位時代,YouTube採強硬措施！CEO：疫情相關不實影片將刪除，一切以WHO說法為基準｜數位時代
87,蘋果專區,https://www.bnext.com.tw/article/57414/iphone-ipad-zero-day-hack,iPhone、iPad爆出漏洞！駭客一封空白郵件，就能盜走手機資料｜數位時代,iPhone、iPad爆出漏洞！駭客一封空白郵件，就能盜走手機資料｜數位時代
88,BRANDinLABS · 品牌癮,https://www.brandinlabs.com/2020/04/22/【案例】一件burberry-trench-風衣的誕生/,【案例】一件Burberry Trench 風衣的誕生 | 品牌癮－法博思品牌顧問,【案例】一件Burberry Trench 風衣的誕生 | 品牌癮－法博思品牌顧問
89,數位時代,https://edm.managertoday.com.tw/data/?utm_source=facebook_bn&utm_medium=post&utm_campaign=202006data,商業數據分析與圖像表達｜超過3000+學員參訓的Excel、圖表課，一致好評！｜經理人商學院,商業數據分析與圖像表達｜超過3000+學員參訓的Excel、圖表課，一致好評！｜經理人商學院
90,寵物,https://agirls.aotter.net/post/57219?utm_source=facebook.com&utm_medium=aottergirls&utm_campaign=link,FBI 警告這些照片不要 PO 社羣！寵物照片也可能提高被盜高風險 - 電獺少女,FBI 警告這些照片不要 PO 社羣！寵物照片也可能提高被盜高風險 - 電獺少女
91,資訊安全,https://www.techbang.com/posts/77866-overseas-online-purchase-package-real-name-system-4-related-q-a-why-do-you-do-identity-authentication-cant-i-get-an-overseas-package-without-certification,「海外網購包裹實名制」4 個相關 Q&A：為什麼要做身分認證？若沒有認證我會領不到海外包裹嗎？ | T客邦,「海外網購包裹實名制」4 個相關 Q&A：為什麼要做身分認證？若沒有認證我會領不到海外包裹嗎？ | T客邦
92,3C產品,https://www.techbang.com/posts/78027-garmin-launches-mother-to-be-smart-hand-minimum-3388-yuan-and-send-a-lot-of-good,Garmin 推出母親節優惠，智慧手環最低 3388 元起、再送多款好禮 | T客邦,Garmin 推出母親節優惠，智慧手環最低 3388 元起、再送多款好禮 | T客邦
93,手機平板,https://www.techbang.com/posts/78014-nda-to-4-23-1400-samsung-launches-new-2020-design-life-series-tv-on-taiwan-emphasizing-aesthetic-concepts-style-shaping-and-flip-features,三星在臺推出全新 2020 設計生活系列電視，分別強調美學概念，風格塑造以及「翻轉」功能 | T客邦,三星在臺推出全新 2020 設計生活系列電視，分別強調美學概念，風格塑造以及「翻轉」功能 | T客邦
94,理財,https://www.storm.mg/article/2555224,油價暴「負」恐傷及風險資產，但不影響信用債的中期前景-風傳媒,油價暴「負」恐傷及風險資產，但不影響信用債的中期前景-風傳媒
95,財經,https://www.storm.mg/article/2555131,2100億紓困特別預算通過　公益彩券經銷商、社區大學也可獲補助 -風傳媒,2100億紓困特別預算通過　公益彩券經銷商、社區大學也可獲補助 -風傳媒
96,國際,https://www.thenewslens.com/article/134207,川普正式簽署60天移民禁令：哪些人會受影響、誰可以豁免？ - The News Lens 關鍵評論網,川普正式簽署60天移民禁令：哪些人會受影響、誰可以豁免？ - The News Lens 關鍵評論網
97,Google專區,https://www.techbang.com/posts/76637-10-google-earth-live-symmes-set-map-style-to-create-an-exclusive-display-look,Google地球活用術：設定「地圖樣式」打造專屬展示外觀 | T客邦,Google地球活用術：設定「地圖樣式」打造專屬展示外觀 | T客邦
98,The News Lens 關鍵評論網,https://www.thenewslens.com/article/134202,走樣變形，法律武器煉成 - The News Lens 關鍵評論網,走樣變形，法律武器煉成 - The News Lens 關鍵評論網
99,資訊安全,https://www.techbang.com/posts/77882-microsoft-has-developed-an-ai-system-that-identifies-critical-security-vulnerabilities-with-97-accuracy,微軟開發了一種AI系統，辨識關鍵安全漏洞準確率高達97% | T客邦,微軟開發了一種AI系統，辨識關鍵安全漏洞準確率高達97% | T客邦
100,The News Lens 關鍵評論網,https://www.thenewslens.com/article/134200,再見塵某 - The News Lens 關鍵評論網,再見塵某 - The News Lens 關鍵評論網
101,國際,https://www.thenewslens.com/article/134207,川普正式簽署60天移民禁令：哪些人會受影響、誰可以豁免？ - The News Lens 關鍵評論網,川普正式簽署60天移民禁令：哪些人會受影響、誰可以豁免？ - The News Lens 關鍵評論網
102,Google專區,https://www.techbang.com/posts/76637-10-google-earth-live-symmes-set-map-style-to-create-an-exclusive-display-look,Google地球活用術：設定「地圖樣式」打造專屬展示外觀 | T客邦,Google地球活用術：設定「地圖樣式」打造專屬展示外觀 | T客邦
103,The News Lens 關鍵評論網,https://www.thenewslens.com/article/134202,走樣變形，法律武器煉成 - The News Lens 關鍵評論網,走樣變形，法律武器煉成 - The News Lens 關鍵評論網
104,資訊安全,https://www.techbang.com/posts/77882-microsoft-has-developed-an-ai-system-that-identifies-critical-security-vulnerabilities-with-97-accuracy,微軟開發了一種AI系統，辨識關鍵安全漏洞準確率高達97% | T客邦,微軟開發了一種AI系統，辨識關鍵安全漏洞準確率高達97% | T客邦
105,The News Lens 關鍵評論網,https://www.thenewslens.com/article/134200,再見塵某 - The News Lens 關鍵評論網,再見塵某 - The News Lens 關鍵評論網
